CPU: 0.1070298214194586  Memory: 0.07262523 
CPU: 0.10702612869806696  Memory: 0.07286491 
CPU: 0.10702612869806696  Memory: 0.07291285 
CPU: 0.10702612869806696  Memory: 0.07296079 
CPU: 0.10702612869806696  Memory: 0.07303269 
CPU: 0.10702612869806696  Memory: 0.07303269 
CPU: 0.10702612869806696  Memory: 0.07303269 
CPU: 0.10702612869806696  Memory: 0.07303269 
CPU: 0.10702612869806696  Memory: 0.07312857 
CPU: 0.10702612869806696  Memory: 0.07317651 
CPU: 0.10702612869806696  Memory: 0.07322445 
CPU: 0.10702612869806696  Memory: 0.07322445 
CPU: 0.10702612869806696  Memory: 0.073272385 
CPU: 0.10702612869806696  Memory: 0.07332032 
CPU: 0.10702612869806696  Memory: 0.07336826 
CPU: 0.10702612869806696  Memory: 0.07336826 
CPU: 0.10702612869806696  Memory: 0.07365588 
CPU: 0.10702612869806696  Memory: 0.07365588 
CPU: 0.10702612869806696  Memory: 0.07367985 
CPU: 0.10702612869806696  Memory: 0.07372779 
CPU: 0.10702612869806696  Memory: 0.07372779 
CPU: 0.10702612869806696  Memory: 0.07377572 
CPU: 0.10702612869806696  Memory: 0.07377572 
CPU: 0.10702612869806696  Memory: 0.07377572 
CPU: 0.10702612869806696  Memory: 0.07377572 
CPU: 0.10702612869806696  Memory: 0.07377572 
CPU: 0.10702612869806696  Memory: 0.07384763 
CPU: 0.10702612869806696  Memory: 0.073919535 
CPU: 0.10702236659240764  Memory: 0.0739435 
CPU: 0.10702236659240764  Memory: 0.07396747 
CPU: 0.10702236659240764  Memory: 0.074015416 
CPU: 0.10702236659240764  Memory: 0.074015416 
CPU: 0.10702236659240764  Memory: 0.074039385 
CPU: 0.10702236659240764  Memory: 0.07406335 
CPU: 0.10702236659240764  Memory: 0.07406335 
CPU: 0.10702236659240764  Memory: 0.07408732 
CPU: 0.10702236659240764  Memory: 0.07408732 
CPU: 0.10702236659240764  Memory: 0.07411129 
CPU: 0.10702236659240764  Memory: 0.07411129 
CPU: 0.10702236659240764  Memory: 0.07411129 
CPU: 0.10702236659240764  Memory: 0.07413526 
CPU: 0.10702236659240764  Memory: 0.07413526 
CPU: 0.10702236659240764  Memory: 0.074183196 
CPU: 0.10702236659240764  Memory: 0.074183196 
CPU: 0.10702236659240764  Memory: 0.07423113 
CPU: 0.10702236659240764  Memory: 0.07423113 
CPU: 0.10702236659240764  Memory: 0.0742551 
CPU: 0.10702236659240764  Memory: 0.07427907 
CPU: 0.10702236659240764  Memory: 0.07427907 
CPU: 0.10702236659240764  Memory: 0.07427907 
CPU: 0.10702236659240764  Memory: 0.07430304 
CPU: 0.10702236659240764  Memory: 0.07432701 
CPU: 0.10702236659240764  Memory: 0.07432701 
CPU: 0.10702236659240764  Memory: 0.07432701 
CPU: 0.10702236659240764  Memory: 0.074350975 
CPU: 0.10702236659240764  Memory: 0.07447082 
CPU: 0.10702236659240764  Memory: 0.07449479 
CPU: 0.10702236659240764  Memory: 0.07449479 
CPU: 0.10702236659240764  Memory: 0.074518755 
CPU: 0.10702236659240764  Memory: 0.074518755 
CPU: 0.10702236659240764  Memory: 0.07454272 
CPU: 0.10702236659240764  Memory: 0.074686535 
CPU: 0.10702236659240764  Memory: 0.074686535 
CPU: 0.10702236659240764  Memory: 0.07475844 
CPU: 0.10702236659240764  Memory: 0.07480638 
CPU: 0.10702236659240764  Memory: 0.074830346 
CPU: 0.10702236659240764  Memory: 0.07485432 
CPU: 0.10702236659240764  Memory: 0.07487829 
CPU: 0.10702236659240764  Memory: 0.07490226 
CPU: 0.10702236659240764  Memory: 0.07492623 
CPU: 0.10702236659240764  Memory: 0.074950196 
CPU: 0.10702236659240764  Memory: 0.074950196 
CPU: 0.10702236659240764  Memory: 0.074950196 
CPU: 0.10702236659240764  Memory: 0.074974164 
CPU: 0.10702236659240764  Memory: 0.07499813 
CPU: 0.10702236659240764  Memory: 0.07499813 
CPU: 0.10702236659240764  Memory: 0.07499813 
CPU: 0.10702236659240764  Memory: 0.0750221 
CPU: 0.10702236659240764  Memory: 0.07507004 
CPU: 0.10702236659240764  Memory: 0.07509401 
CPU: 0.10702236659240764  Memory: 0.075117975 
CPU: 0.10702236659240764  Memory: 0.075141944 
CPU: 0.10702236659240764  Memory: 0.07516591 
CPU: 0.10702236659240764  Memory: 0.07526179 
CPU: 0.10701861354711541  Memory: 0.07526179 
CPU: 0.10701861354711541  Memory: 0.075285755 
CPU: 0.10701861354711541  Memory: 0.07530972 
CPU: 0.10701861354711541  Memory: 0.07533369 
CPU: 0.10701861354711541  Memory: 0.07533369 
CPU: 0.10701861354711541  Memory: 0.07538163 
CPU: 0.10701861354711541  Memory: 0.07538163 
CPU: 0.10701861354711541  Memory: 0.0754056 
CPU: 0.10701861354711541  Memory: 0.0754775 
CPU: 0.10701861354711541  Memory: 0.0754775 
CPU: 0.10701861354711541  Memory: 0.0754775 
CPU: 0.10701861354711541  Memory: 0.0754775 
CPU: 0.10701861354711541  Memory: 0.07552544 
CPU: 0.10701861354711541  Memory: 0.07552544 
CPU: 0.10701861354711541  Memory: 0.07554941 
CPU: 0.10701861354711541  Memory: 0.07554941 
CPU: 0.10701861354711541  Memory: 0.07557338 
CPU: 0.10701861354711541  Memory: 0.075621314 
CPU: 0.10701861354711541  Memory: 0.07564528 
CPU: 0.10701861354711541  Memory: 0.07566925 
CPU: 0.10701861354711541  Memory: 0.07571719 
CPU: 0.10701861354711541  Memory: 0.075741164 
CPU: 0.10701861354711541  Memory: 0.07576513 
CPU: 0.10701861354711541  Memory: 0.0757891 
CPU: 0.10701861354711541  Memory: 0.0757891 
CPU: 0.10701861354711541  Memory: 0.07581307 
CPU: 0.10701861354711541  Memory: 0.07581307 
CPU: 0.10701861354711541  Memory: 0.07593291 
CPU: 0.10701861354711541  Memory: 0.07593291 
CPU: 0.10701861354711541  Memory: 0.07593291 
CPU: 0.10701861354711541  Memory: 0.07598085 
CPU: 0.10701861354711541  Memory: 0.07600482 
CPU: 0.10701861354711541  Memory: 0.07602879 
CPU: 0.10701861354711541  Memory: 0.07602879 
CPU: 0.10701861354711541  Memory: 0.076052755 
CPU: 0.10701861354711541  Memory: 0.07607672 
CPU: 0.10701861354711541  Memory: 0.07607672 
CPU: 0.10701861354711541  Memory: 0.07610069 
CPU: 0.10701861354711541  Memory: 0.07610069 
CPU: 0.10701861354711541  Memory: 0.07612466 
CPU: 0.10701861354711541  Memory: 0.07614863 
CPU: 0.10701861354711541  Memory: 0.07614863 
CPU: 0.10701861354711541  Memory: 0.076196566 
CPU: 0.10701861354711541  Memory: 0.0762445 
CPU: 0.10701861354711541  Memory: 0.0762445 
CPU: 0.10701861354711541  Memory: 0.07626847 
CPU: 0.10701861354711541  Memory: 0.07631641 
CPU: 0.10701861354711541  Memory: 0.076364346 
CPU: 0.10701861354711541  Memory: 0.076364346 
CPU: 0.10701861354711541  Memory: 0.076388314 
CPU: 0.10701861354711541  Memory: 0.07641228 
CPU: 0.10701861354711541  Memory: 0.07641228 
CPU: 0.10701861354711541  Memory: 0.07643625 
CPU: 0.10701861354711541  Memory: 0.07648419 
CPU: 0.10701861354711541  Memory: 0.07650816 
CPU: 0.10701861354711541  Memory: 0.07660404 
CPU: 0.10701487615676916  Memory: 0.076651976 
CPU: 0.10701487615676916  Memory: 0.076651976 
CPU: 0.10701487615676916  Memory: 0.076675944 
CPU: 0.10701487615676916  Memory: 0.076675944 
CPU: 0.10701487615676916  Memory: 0.07669991 
CPU: 0.10701487615676916  Memory: 0.07669991 
CPU: 0.10701487615676916  Memory: 0.07679579 
CPU: 0.10701487615676916  Memory: 0.07679579 
CPU: 0.10701487615676916  Memory: 0.07679579 
CPU: 0.10701487615676916  Memory: 0.07684372 
CPU: 0.10701487615676916  Memory: 0.07686769 
CPU: 0.10701487615676916  Memory: 0.07686769 
CPU: 0.10701487615676916  Memory: 0.07686769 
CPU: 0.10701487615676916  Memory: 0.0769396 
CPU: 0.10701487615676916  Memory: 0.076987535 
CPU: 0.10701487615676916  Memory: 0.076987535 
CPU: 0.10701487615676916  Memory: 0.0770115 
CPU: 0.10701487615676916  Memory: 0.07703547 
CPU: 0.10701487615676916  Memory: 0.07705944 
CPU: 0.10701487615676916  Memory: 0.07705944 
CPU: 0.10701487615676916  Memory: 0.07710738 
CPU: 0.10701487615676916  Memory: 0.077131346 
CPU: 0.10701487615676916  Memory: 0.077131346 
CPU: 0.10701487615676916  Memory: 0.077155314 
CPU: 0.10701487615676916  Memory: 0.077155314 
CPU: 0.10701487615676916  Memory: 0.07717928 
CPU: 0.10701487615676916  Memory: 0.07720325 
CPU: 0.10701487615676916  Memory: 0.077299125 
CPU: 0.10701487615676916  Memory: 0.077323094 
CPU: 0.10701487615676916  Memory: 0.077323094 
CPU: 0.10701487615676916  Memory: 0.077323094 
CPU: 0.10701487615676916  Memory: 0.077323094 
CPU: 0.10701487615676916  Memory: 0.077323094 
CPU: 0.10701487615676916  Memory: 0.07737103 
CPU: 0.10701487615676916  Memory: 0.07737103 
CPU: 0.10701487615676916  Memory: 0.077395 
CPU: 0.10701487615676916  Memory: 0.07741897 
CPU: 0.10701487615676916  Memory: 0.07744294 
CPU: 0.10701487615676916  Memory: 0.07751485 
CPU: 0.10701487615676916  Memory: 0.07753882 
CPU: 0.10701487615676916  Memory: 0.07753882 
CPU: 0.10701487615676916  Memory: 0.077586755 
CPU: 0.10701487615676916  Memory: 0.07761072 
CPU: 0.10701487615676916  Memory: 0.077754535 
CPU: 0.10701487615676916  Memory: 0.07787438 
CPU: 0.10701487615676916  Memory: 0.07794628 
CPU: 0.10701487615676916  Memory: 0.07797025 
CPU: 0.10701487615676916  Memory: 0.07804216 
CPU: 0.10701487615676916  Memory: 0.078090094 
CPU: 0.10701487615676916  Memory: 0.07811406 
CPU: 0.10701487615676916  Memory: 0.07811406 
CPU: 0.10701487615676916  Memory: 0.07818597 
CPU: 0.10701487615676916  Memory: 0.078233905 
CPU: 0.10701487615676916  Memory: 0.078233905 
CPU: 0.10701110971191945  Memory: 0.078233905 
CPU: 0.10701110971191945  Memory: 0.07830581 
CPU: 0.10701110971191945  Memory: 0.07832978 
CPU: 0.10701110971191945  Memory: 0.078353755 
CPU: 0.10701110971191945  Memory: 0.078353755 
CPU: 0.10701110971191945  Memory: 0.07837772 
CPU: 0.10701110971191945  Memory: 0.07840169 
CPU: 0.10701110971191945  Memory: 0.07840169 
CPU: 0.10701110971191945  Memory: 0.07849757 
CPU: 0.10701110971191945  Memory: 0.078521535 
CPU: 0.10701110971191945  Memory: 0.078521535 
CPU: 0.10701110971191945  Memory: 0.0785455 
CPU: 0.10701110971191945  Memory: 0.07859344 
CPU: 0.10701110971191945  Memory: 0.07861741 
CPU: 0.10701110971191945  Memory: 0.07864138 
CPU: 0.10701110971191945  Memory: 0.07864138 
CPU: 0.10701110971191945  Memory: 0.078689314 
CPU: 0.10701110971191945  Memory: 0.078689314 
CPU: 0.10701110971191945  Memory: 0.07871328 
CPU: 0.10701110971191945  Memory: 0.07871328 
CPU: 0.10701110971191945  Memory: 0.07871328 
CPU: 0.10701110971191945  Memory: 0.07876122 
CPU: 0.10701110971191945  Memory: 0.07876122 
CPU: 0.10701110971191945  Memory: 0.07876122 
CPU: 0.10701110971191945  Memory: 0.07876122 
CPU: 0.10701110971191945  Memory: 0.07880916 
CPU: 0.10701110971191945  Memory: 0.07880916 
CPU: 0.10701110971191945  Memory: 0.078833126 
CPU: 0.10701110971191945  Memory: 0.078833126 
CPU: 0.10701110971191945  Memory: 0.078929 
CPU: 0.10701110971191945  Memory: 0.078929 
CPU: 0.10701110971191945  Memory: 0.07897694 
CPU: 0.10701110971191945  Memory: 0.079000905 
CPU: 0.10701110971191945  Memory: 0.07904884 
CPU: 0.10701110971191945  Memory: 0.07904884 
CPU: 0.10701110971191945  Memory: 0.07904884 
CPU: 0.10701110971191945  Memory: 0.07907281 
CPU: 0.10701110971191945  Memory: 0.07919265 
CPU: 0.10701110971191945  Memory: 0.07919265 
CPU: 0.10701110971191945  Memory: 0.0793125 
CPU: 0.10701110971191945  Memory: 0.07933647 
